TOP.6655a7f9.000cc266	START
TOP.6655a7f9.000cc266	user_options->progress_only	0
TOP.6655a7f9.000cc266	user_options->quiet	0
TOP.6655a7f9.000cc266	user_options->remove	0
TOP.6655a7f9.000cc266	user_options->remove_timer	60
TOP.6655a7f9.000cc266	user_options->restore	0
TOP.6655a7f9.000cc266	user_options->restore_disable	0
TOP.6655a7f9.000cc266	user_options->restore_timer	1
TOP.6655a7f9.000cc266	user_options->rp_files_cnt	1
TOP.6655a7f9.000cc266	user_options->rp_gen	0
TOP.6655a7f9.000cc266	user_options->rp_gen_func_max	4
TOP.6655a7f9.000cc266	user_options->rp_gen_func_min	1
TOP.6655a7f9.000cc266	user_options->rp_gen_seed	0
TOP.6655a7f9.000cc266	user_options->runtime	0
TOP.6655a7f9.000cc266	user_options->scrypt_tmto	0
TOP.6655a7f9.000cc266	user_options->segment_size	33554432
TOP.6655a7f9.000cc266	user_options->self_test_disable	0
TOP.6655a7f9.000cc266	user_options->slow_candidates	0
TOP.6655a7f9.000cc266	user_options->show	0
TOP.6655a7f9.000cc266	user_options->speed_only	0
TOP.6655a7f9.000cc266	user_options->spin_damp	0
TOP.6655a7f9.000cc266	user_options->status	0
TOP.6655a7f9.000cc266	user_options->status_json	0
TOP.6655a7f9.000cc266	user_options->status_timer	10
TOP.6655a7f9.000cc266	user_options->stdout_flag	0
TOP.6655a7f9.000cc266	user_options->usage	0
TOP.6655a7f9.000cc266	user_options->username	0
TOP.6655a7f9.000cc266	user_options->veracrypt_pim_start	485
TOP.6655a7f9.000cc266	user_options->veracrypt_pim_stop	485
TOP.6655a7f9.000cc266	user_options->version	0
TOP.6655a7f9.000cc266	user_options->workload_profile	2
TOP.6655a7f9.000cc266	user_options->brain_client	0
TOP.6655a7f9.000cc266	user_options->brain_client_features	2
TOP.6655a7f9.000cc266	user_options->brain_server	0
TOP.6655a7f9.000cc266	user_options->brain_server_timer	300
TOP.6655a7f9.000cc266	user_options->brain_port	6863
TOP.6655a7f9.000cc266	user_options->brain_session	0
TOP.6655a7f9.000cc266	hashes->hashfile	./05271.hash
TOP.6655a7f9.000cc266	hashes->hashlist_mode	5
TOP.6655a7f9.000cc266	hashes->hashlist_format	0
TOP.6655a7f9.000cc266	hashes->hashes_cnt	0
TOP.6655a7f9.000cc266	hashes->digests_cnt	1
TOP.6655a7f9.000cc266	hashes->digests_done_pot	0
TOP.6655a7f9.000cc266	hashes->digests_done_zero	0
TOP.6655a7f9.000cc266	hashes->digests_done	0
TOP.6655a7f9.000cc266	hashes->salts_cnt	1
TOP.6655a7f9.000cc266	hashes->salts_done	0
TOP.6655a7f9.000cc266	SUB.6655a7fc.0003bb09	START
TOP.6655a7f9.000cc266	SUB.6655a7fc.0003bb09	straight_ctx->dict	example.dict
TOP.6655a7f9.000cc266	SUB.6655a7fc.0003bb09	rulefile	rules/rockyou-30000.rule
TOP.6655a7f9.000cc266	SUB.6655a7fc.0003bb09	runtime_start	1716889597
TOP.6655a7f9.000cc266	SUB.6655a7fc.0003bb09	runtime_stop	1716922207
TOP.6655a7f9.000cc266	SUB.6655a7fc.0003bb09	hashes->digests_done_new	0
TOP.6655a7f9.000cc266	SUB.6655a7fc.0003bb09	status-after-work	13
TOP.6655a7f9.000cc266	SUB.6655a7fc.0003bb09	STOP
TOP.6655a7f9.000cc266	proc_start	1716889593
TOP.6655a7f9.000cc266	proc_stop	1716922209
TOP.6655a7f9.000cc266	STOP
TOP.66567e5d.000c648b	START
TOP.66567e5d.000c648b	folder_config->cwd	E:\modules
TOP.66567e5d.000c648b	folder_config->install_dir	.
TOP.66567e5d.000c648b	folder_config->profile_dir	.
TOP.66567e5d.000c648b	folder_config->session_dir	.
TOP.66567e5d.000c648b	folder_config->shared_dir	.
TOP.66567e5d.000c648b	user_options->encoding_from	utf-8
TOP.66567e5d.000c648b	user_options->encoding_to	utf-8
TOP.66567e5d.000c648b	user_options->rp_files[0]	rules/rockyou-30000.rule
TOP.66567e5d.000c648b	user_options->rule_buf_l	:
TOP.66567e5d.000c648b	user_options->rule_buf_r	:
TOP.66567e5d.000c648b	user_options->session	hashcat
TOP.66567e5d.000c648b	user_options->separator	:
TOP.66567e5d.000c648b	user_options->limit	0
TOP.66567e5d.000c648b	user_options->skip	0
TOP.66567e5d.000c648b	user_options->attack_mode	0
TOP.66567e5d.000c648b	user_options->benchmark	0
TOP.66567e5d.000c648b	user_options->benchmark_all	0
TOP.66567e5d.000c648b	user_options->bitmap_max	18
TOP.66567e5d.000c648b	user_options->bitmap_min	16
TOP.66567e5d.000c648b	user_options->debug_mode	0
TOP.66567e5d.000c648b	user_options->hash_info	0
TOP.66567e5d.000c648b	user_options->force	0
TOP.66567e5d.000c648b	user_options->hwmon_disable	0
TOP.66567e5d.000c648b	user_options->hwmon_temp_abort	90
TOP.66567e5d.000c648b	user_options->hash_mode	23100
TOP.66567e5d.000c648b	user_options->hex_charset	0
TOP.66567e5d.000c648b	user_options->hex_salt	0
TOP.66567e5d.000c648b	user_options->hex_wordlist	0
TOP.66567e5d.000c648b	user_options->hook_threads	16
TOP.66567e5d.000c648b	user_options->identify	0
TOP.66567e5d.000c648b	user_options->increment	0
TOP.66567e5d.000c648b	user_options->increment_max	256
TOP.66567e5d.000c648b	user_options->increment_min	1
TOP.66567e5d.000c648b	user_options->keep_guessing	1
TOP.66567e5d.000c648b	user_options->kernel_accel	0
TOP.66567e5d.000c648b	user_options->kernel_loops	0
TOP.66567e5d.000c648b	user_options->kernel_threads	0
TOP.66567e5d.000c648b	user_options->keyspace	0
TOP.66567e5d.000c648b	user_options->left	0
TOP.66567e5d.000c648b	user_options->logfile_disable	0
TOP.66567e5d.000c648b	user_options->loopback	0
TOP.66567e5d.000c648b	user_options->machine_readable	0
TOP.66567e5d.000c648b	user_options->markov_classic	0
TOP.66567e5d.000c648b	user_options->markov_disable	0
TOP.66567e5d.000c648b	user_options->markov_inverse	0
TOP.66567e5d.000c648b	user_options->markov_threshold	256
TOP.66567e5d.000c648b	user_options->multiply_accel_disable	0
TOP.66567e5d.000c648b	user_options->backend_info	0
TOP.66567e5d.000c648b	user_options->backend_vector_width	0
TOP.66567e5d.000c648b	user_options->optimized_kernel_enable	0
TOP.66567e5d.000c648b	user_options->outfile_autohex	1
TOP.66567e5d.000c648b	user_options->outfile_check_timer	5
TOP.66567e5d.000c648b	user_options->outfile_format	3
TOP.66567e5d.000c648b	user_options->wordlist_autohex_disable	0
TOP.66567e5d.000c648b	user_options->potfile_disable	0
TOP.66567e5d.000c648b	user_options->progress_only	0
TOP.66567e5d.000c648b	user_options->quiet	0
TOP.66567e5d.000c648b	user_options->remove	0
TOP.66567e5d.000c648b	user_options->remove_timer	60
TOP.66567e5d.000c648b	user_options->restore	0
TOP.66567e5d.000c648b	user_options->restore_disable	0
TOP.66567e5d.000c648b	user_options->restore_timer	1
TOP.66567e5d.000c648b	user_options->rp_files_cnt	1
TOP.66567e5d.000c648b	user_options->rp_gen	0
TOP.66567e5d.000c648b	user_options->rp_gen_func_max	4
TOP.66567e5d.000c648b	user_options->rp_gen_func_min	1
TOP.66567e5d.000c648b	user_options->rp_gen_seed	0
TOP.66567e5d.000c648b	user_options->runtime	0
TOP.66567e5d.000c648b	user_options->scrypt_tmto	0
TOP.66567e5d.000c648b	user_options->segment_size	33554432
TOP.66567e5d.000c648b	user_options->self_test_disable	0
TOP.66567e5d.000c648b	user_options->slow_candidates	0
TOP.66567e5d.000c648b	user_options->show	0
TOP.66567e5d.000c648b	user_options->speed_only	0
TOP.66567e5d.000c648b	user_options->spin_damp	0
TOP.66567e5d.000c648b	user_options->status	0
TOP.66567e5d.000c648b	user_options->status_json	0
TOP.66567e5d.000c648b	user_options->status_timer	10
TOP.66567e5d.000c648b	user_options->stdout_flag	0
TOP.66567e5d.000c648b	user_options->usage	0
TOP.66567e5d.000c648b	user_options->username	0
TOP.66567e5d.000c648b	user_options->veracrypt_pim_start	485
TOP.66567e5d.000c648b	user_options->veracrypt_pim_stop	485
TOP.66567e5d.000c648b	user_options->version	0
TOP.66567e5d.000c648b	user_options->workload_profile	2
TOP.66567e5d.000c648b	user_options->brain_client	0
TOP.66567e5d.000c648b	user_options->brain_client_features	2
TOP.66567e5d.000c648b	user_options->brain_server	0
TOP.66567e5d.000c648b	user_options->brain_server_timer	300
TOP.66567e5d.000c648b	user_options->brain_port	6863
TOP.66567e5d.000c648b	user_options->brain_session	0
TOP.66567e5d.000c648b	hashes->hashfile	./test-local.hash
TOP.66567e5d.000c648b	hashes->hashlist_mode	5
TOP.66567e5d.000c648b	hashes->hashlist_format	0
TOP.66567e5d.000c648b	hashes->hashes_cnt	0
TOP.66567e5d.000c648b	hashes->digests_cnt	1
TOP.66567e5d.000c648b	hashes->digests_done_pot	0
TOP.66567e5d.000c648b	hashes->digests_done_zero	0
TOP.66567e5d.000c648b	hashes->digests_done	0
TOP.66567e5d.000c648b	hashes->salts_cnt	1
TOP.66567e5d.000c648b	hashes->salts_done	0
TOP.66567e5d.000c648b	SUB.66567e64.000980c5	START
TOP.66567e5d.000c648b	SUB.66567e64.000980c5	straight_ctx->dict	example.dict
TOP.66567e5d.000c648b	SUB.66567e64.000980c5	rulefile	rules/rockyou-30000.rule
TOP.66567e5d.000c648b	SUB.66567e64.000980c5	runtime_start	1716944490
TOP.66567e5d.000c648b	SUB.66567e64.000980c5	runtime_stop	1716944504
TOP.66567e5d.000c648b	SUB.66567e64.000980c5	hashes->digests_done_new	0
TOP.66567e5d.000c648b	SUB.66567e64.000980c5	status-after-work	8
TOP.66567e5d.000c648b	SUB.66567e64.000980c5	STOP
TOP.66567e5d.000c648b	proc_start	1716944477
TOP.66567e5d.000c648b	proc_stop	1716944505
TOP.66567e5d.000c648b	STOP
TOP.66567ff9.0000876a	START
TOP.66567ff9.0000876a	folder_config->cwd	E:\modules
TOP.66567ff9.0000876a	folder_config->install_dir	.
TOP.66567ff9.0000876a	folder_config->profile_dir	.
TOP.66567ff9.0000876a	folder_config->session_dir	.
TOP.66567ff9.0000876a	folder_config->shared_dir	.
TOP.66567ff9.0000876a	user_options->encoding_from	utf-8
TOP.66567ff9.0000876a	user_options->encoding_to	utf-8
TOP.66567ff9.0000876a	user_options->rp_files[0]	rules/rockyou-30000.rule
TOP.66567ff9.0000876a	user_options->rule_buf_l	:
TOP.66567ff9.0000876a	user_options->rule_buf_r	:
TOP.66567ff9.0000876a	user_options->session	hashcat
TOP.66567ff9.0000876a	user_options->separator	:
TOP.66567ff9.0000876a	user_options->limit	0
TOP.66567ff9.0000876a	user_options->skip	0
TOP.66567ff9.0000876a	user_options->attack_mode	0
TOP.66567ff9.0000876a	user_options->benchmark	0
TOP.66567ff9.0000876a	user_options->benchmark_all	0
TOP.66567ff9.0000876a	user_options->bitmap_max	18
TOP.66567ff9.0000876a	user_options->bitmap_min	16
TOP.66567ff9.0000876a	user_options->debug_mode	0
TOP.66567ff9.0000876a	user_options->hash_info	0
TOP.66567ff9.0000876a	user_options->force	0
TOP.66567ff9.0000876a	user_options->hwmon_disable	0
TOP.66567ff9.0000876a	user_options->hwmon_temp_abort	90
TOP.66567ff9.0000876a	user_options->hash_mode	26600
TOP.66567ff9.0000876a	user_options->hex_charset	0
TOP.66567ff9.0000876a	user_options->hex_salt	0
TOP.66567ff9.0000876a	user_options->hex_wordlist	0
TOP.66567ff9.0000876a	user_options->hook_threads	16
TOP.66567ff9.0000876a	user_options->identify	0
TOP.66567ff9.0000876a	user_options->increment	0
TOP.66567ff9.0000876a	user_options->increment_max	256
TOP.66567ff9.0000876a	user_options->increment_min	1
TOP.66567ff9.0000876a	user_options->keep_guessing	1
TOP.66567ff9.0000876a	user_options->kernel_accel	0
TOP.66567ff9.0000876a	user_options->kernel_loops	0
TOP.66567ff9.0000876a	user_options->kernel_threads	0
TOP.66567ff9.0000876a	user_options->keyspace	0
TOP.66567ff9.0000876a	user_options->left	0
TOP.66567ff9.0000876a	user_options->logfile_disable	0
TOP.66567ff9.0000876a	user_options->loopback	0
TOP.66567ff9.0000876a	user_options->machine_readable	0
TOP.66567ff9.0000876a	user_options->markov_classic	0
TOP.66567ff9.0000876a	user_options->markov_disable	0
TOP.66567ff9.0000876a	user_options->markov_inverse	0
TOP.66567ff9.0000876a	user_options->markov_threshold	256
TOP.66567ff9.0000876a	user_options->multiply_accel_disable	0
TOP.66567ff9.0000876a	user_options->backend_info	0
TOP.66567ff9.0000876a	user_options->backend_vector_width	0
TOP.66567ff9.0000876a	user_options->optimized_kernel_enable	0
TOP.66567ff9.0000876a	user_options->outfile_autohex	1
TOP.66567ff9.0000876a	user_options->outfile_check_timer	5
TOP.66567ff9.0000876a	user_options->outfile_format	3
TOP.66567ff9.0000876a	user_options->wordlist_autohex_disable	0
TOP.66567ff9.0000876a	user_options->potfile_disable	0
TOP.66567ff9.0000876a	user_options->progress_only	0
TOP.66567ff9.0000876a	user_options->quiet	0
TOP.66567ff9.0000876a	user_options->remove	0
TOP.66567ff9.0000876a	user_options->remove_timer	60
TOP.66567ff9.0000876a	user_options->restore	0
TOP.66567ff9.0000876a	user_options->restore_disable	0
TOP.66567ff9.0000876a	user_options->restore_timer	1
TOP.66567ff9.0000876a	user_options->rp_files_cnt	1
TOP.66567ff9.0000876a	user_options->rp_gen	0
TOP.66567ff9.0000876a	user_options->rp_gen_func_max	4
TOP.66567ff9.0000876a	user_options->rp_gen_func_min	1
TOP.66567ff9.0000876a	user_options->rp_gen_seed	0
TOP.66567ff9.0000876a	user_options->runtime	0
TOP.66567ff9.0000876a	user_options->scrypt_tmto	0
TOP.66567ff9.0000876a	user_options->segment_size	33554432
TOP.66567ff9.0000876a	user_options->self_test_disable	0
TOP.66567ff9.0000876a	user_options->slow_candidates	0
TOP.66567ff9.0000876a	user_options->show	0
TOP.66567ff9.0000876a	user_options->speed_only	0
TOP.66567ff9.0000876a	user_options->spin_damp	0
TOP.66567ff9.0000876a	user_options->status	0
TOP.66567ff9.0000876a	user_options->status_json	0
TOP.66567ff9.0000876a	user_options->status_timer	10
TOP.66567ff9.0000876a	user_options->stdout_flag	0
TOP.66567ff9.0000876a	user_options->usage	0
TOP.66567ff9.0000876a	user_options->username	0
TOP.66567ff9.0000876a	user_options->veracrypt_pim_start	485
TOP.66567ff9.0000876a	user_options->veracrypt_pim_stop	485
TOP.66567ff9.0000876a	user_options->version	0
TOP.66567ff9.0000876a	user_options->workload_profile	2
TOP.66567ff9.0000876a	user_options->brain_client	0
TOP.66567ff9.0000876a	user_options->brain_client_features	2
TOP.66567ff9.0000876a	user_options->brain_server	0
TOP.66567ff9.0000876a	user_options->brain_server_timer	300
TOP.66567ff9.0000876a	user_options->brain_port	6863
TOP.66567ff9.0000876a	user_options->brain_session	0
TOP.66567ff9.0000876a	hashes->hashfile	./test.hash
TOP.66567ff9.0000876a	hashes->hashlist_mode	5
TOP.66567ff9.0000876a	hashes->hashlist_format	0
TOP.66567ff9.0000876a	hashes->hashes_cnt	0
TOP.66567ff9.0000876a	hashes->digests_cnt	1
TOP.66567ff9.0000876a	hashes->digests_done_pot	0
TOP.66567ff9.0000876a	hashes->digests_done_zero	0
TOP.66567ff9.0000876a	hashes->digests_done	0
TOP.66567ff9.0000876a	hashes->salts_cnt	1
TOP.66567ff9.0000876a	hashes->salts_done	0
TOP.66567ff9.0000876a	SUB.66568007.000b2c4d	START
TOP.66567ff9.0000876a	SUB.66568007.000b2c4d	straight_ctx->dict	test.dict
TOP.66567ff9.0000876a	SUB.66568007.000b2c4d	rulefile	rules/rockyou-30000.rule
TOP.6656804c.0001a7ba	START
TOP.6656804c.0001a7ba	folder_config->cwd	E:\modules
TOP.6656804c.0001a7ba	folder_config->install_dir	.
TOP.6656804c.0001a7ba	folder_config->profile_dir	.
TOP.6656804c.0001a7ba	folder_config->session_dir	.
TOP.6656804c.0001a7ba	folder_config->shared_dir	.
TOP.6656804c.0001a7ba	user_options->encoding_from	utf-8
TOP.6656804c.0001a7ba	user_options->encoding_to	utf-8
TOP.6656804c.0001a7ba	user_options->rp_files[0]	rules/rockyou-30000.rule
TOP.6656804c.0001a7ba	user_options->rule_buf_l	:
TOP.6656804c.0001a7ba	user_options->rule_buf_r	:
TOP.6656804c.0001a7ba	user_options->session	hashcat
TOP.6656804c.0001a7ba	user_options->separator	:
TOP.6656804c.0001a7ba	user_options->limit	0
TOP.6656804c.0001a7ba	user_options->skip	0
TOP.6656804c.0001a7ba	user_options->attack_mode	0
TOP.6656804c.0001a7ba	user_options->benchmark	0
TOP.6656804c.0001a7ba	user_options->benchmark_all	0
TOP.6656804c.0001a7ba	user_options->bitmap_max	18
TOP.6656804c.0001a7ba	user_options->bitmap_min	16
TOP.6656804c.0001a7ba	user_options->debug_mode	0
TOP.6656804c.0001a7ba	user_options->hash_info	0
TOP.6656804c.0001a7ba	user_options->force	0
TOP.6656804c.0001a7ba	user_options->hwmon_disable	0
TOP.6656804c.0001a7ba	user_options->hwmon_temp_abort	90
TOP.6656804c.0001a7ba	user_options->hash_mode	26600
TOP.6656804c.0001a7ba	user_options->hex_charset	0
TOP.6656804c.0001a7ba	user_options->hex_salt	0
TOP.6656804c.0001a7ba	user_options->hex_wordlist	0
TOP.6656804c.0001a7ba	user_options->hook_threads	16
TOP.6656804c.0001a7ba	user_options->identify	0
TOP.6656804c.0001a7ba	user_options->increment	0
TOP.6656804c.0001a7ba	user_options->increment_max	256
TOP.6656804c.0001a7ba	user_options->increment_min	1
TOP.6656804c.0001a7ba	user_options->keep_guessing	1
TOP.6656804c.0001a7ba	user_options->kernel_accel	0
TOP.6656804c.0001a7ba	user_options->kernel_loops	0
TOP.6656804c.0001a7ba	user_options->kernel_threads	0
TOP.6656804c.0001a7ba	user_options->keyspace	0
TOP.6656804c.0001a7ba	user_options->left	0
TOP.6656804c.0001a7ba	user_options->logfile_disable	0
TOP.6656804c.0001a7ba	user_options->loopback	0
TOP.6656804c.0001a7ba	user_options->machine_readable	0
TOP.6656804c.0001a7ba	user_options->markov_classic	0
TOP.6656804c.0001a7ba	user_options->markov_disable	0
TOP.6656804c.0001a7ba	user_options->markov_inverse	0
TOP.6656804c.0001a7ba	user_options->markov_threshold	256
TOP.6656804c.0001a7ba	user_options->multiply_accel_disable	0
TOP.6656804c.0001a7ba	user_options->backend_info	0
TOP.6656804c.0001a7ba	user_options->backend_vector_width	0
TOP.6656804c.0001a7ba	user_options->optimized_kernel_enable	0
TOP.6656804c.0001a7ba	user_options->outfile_autohex	1
TOP.6656804c.0001a7ba	user_options->outfile_check_timer	5
TOP.6656804c.0001a7ba	user_options->outfile_format	3
TOP.6656804c.0001a7ba	user_options->wordlist_autohex_disable	0
TOP.6656804c.0001a7ba	user_options->potfile_disable	0
TOP.6656804c.0001a7ba	user_options->progress_only	0
TOP.6656804c.0001a7ba	user_options->quiet	0
TOP.6656804c.0001a7ba	user_options->remove	0
TOP.6656804c.0001a7ba	user_options->remove_timer	60
TOP.6656804c.0001a7ba	user_options->restore	0
TOP.6656804c.0001a7ba	user_options->restore_disable	0
TOP.6656804c.0001a7ba	user_options->restore_timer	1
TOP.6656804c.0001a7ba	user_options->rp_files_cnt	1
TOP.6656804c.0001a7ba	user_options->rp_gen	0
TOP.6656804c.0001a7ba	user_options->rp_gen_func_max	4
TOP.6656804c.0001a7ba	user_options->rp_gen_func_min	1
TOP.6656804c.0001a7ba	user_options->rp_gen_seed	0
TOP.6656804c.0001a7ba	user_options->runtime	0
TOP.6656804c.0001a7ba	user_options->scrypt_tmto	0
TOP.6656804c.0001a7ba	user_options->segment_size	33554432
TOP.6656804c.0001a7ba	user_options->self_test_disable	0
TOP.6656804c.0001a7ba	user_options->slow_candidates	0
TOP.6656804c.0001a7ba	user_options->show	0
TOP.6656804c.0001a7ba	user_options->speed_only	0
TOP.6656804c.0001a7ba	user_options->spin_damp	0
TOP.6656804c.0001a7ba	user_options->status	0
TOP.6656804c.0001a7ba	user_options->status_json	0
TOP.6656804c.0001a7ba	user_options->status_timer	10
TOP.6656804c.0001a7ba	user_options->stdout_flag	0
TOP.6656804c.0001a7ba	user_options->usage	0
TOP.6656804c.0001a7ba	user_options->username	0
TOP.6656804c.0001a7ba	user_options->veracrypt_pim_start	485
TOP.6656804c.0001a7ba	user_options->veracrypt_pim_stop	485
TOP.6656804c.0001a7ba	user_options->version	0
TOP.6656804c.0001a7ba	user_options->workload_profile	2
TOP.6656804c.0001a7ba	user_options->brain_client	0
TOP.6656804c.0001a7ba	user_options->brain_client_features	2
TOP.6656804c.0001a7ba	user_options->brain_server	0
TOP.6656804c.0001a7ba	user_options->brain_server_timer	300
TOP.6656804c.0001a7ba	user_options->brain_port	6863
TOP.6656804c.0001a7ba	user_options->brain_session	0
TOP.6656804c.0001a7ba	hashes->hashfile	./test.hash
TOP.6656804c.0001a7ba	hashes->hashlist_mode	5
TOP.6656804c.0001a7ba	hashes->hashlist_format	0
TOP.6656804c.0001a7ba	hashes->hashes_cnt	0
TOP.6656804c.0001a7ba	hashes->digests_cnt	1
TOP.6656804c.0001a7ba	hashes->digests_done_pot	0
TOP.6656804c.0001a7ba	hashes->digests_done_zero	0
TOP.6656804c.0001a7ba	hashes->digests_done	0
TOP.6656804c.0001a7ba	hashes->salts_cnt	1
TOP.6656804c.0001a7ba	hashes->salts_done	0
TOP.6656804c.0001a7ba	SUB.66568055.000265a3	START
TOP.6656804c.0001a7ba	SUB.66568055.000265a3	straight_ctx->dict	test.dict
TOP.6656804c.0001a7ba	SUB.66568055.000265a3	rulefile	rules/rockyou-30000.rule
TOP.6656804c.0001a7ba	SUB.66568055.000265a3	runtime_start	1716944982
TOP.6656804c.0001a7ba	SUB.66568055.000265a3	runtime_stop	1716944982
TOP.6656804c.0001a7ba	SUB.66568055.000265a3	hashes->digests_done_new	0
TOP.6656804c.0001a7ba	SUB.66568055.000265a3	status-after-work	5
TOP.6656804c.0001a7ba	SUB.66568055.000265a3	STOP
TOP.6656804c.0001a7ba	proc_start	1716944972
TOP.6656804c.0001a7ba	proc_stop	1716944984
TOP.6656804c.0001a7ba	STOP
TOP.665682f4.00080fc5	START
TOP.665682f4.00080fc5	folder_config->cwd	E:\modules
TOP.665682f4.00080fc5	folder_config->install_dir	.
TOP.665682f4.00080fc5	folder_config->profile_dir	.
TOP.665682f4.00080fc5	folder_config->session_dir	.
TOP.665682f4.00080fc5	folder_config->shared_dir	.
TOP.665682f4.00080fc5	user_options->encoding_from	utf-8
TOP.665682f4.00080fc5	user_options->encoding_to	utf-8
TOP.665682f4.00080fc5	user_options->rp_files[0]	rules/rockyou-30000.rule
TOP.665682f4.00080fc5	user_options->rule_buf_l	:
TOP.665682f4.00080fc5	user_options->rule_buf_r	:
TOP.665682f4.00080fc5	user_options->session	hashcat
TOP.665682f4.00080fc5	user_options->separator	:
TOP.665682f4.00080fc5	user_options->limit	0
TOP.665682f4.00080fc5	user_options->skip	0
TOP.665682f4.00080fc5	user_options->attack_mode	0
TOP.665682f4.00080fc5	user_options->benchmark	0
TOP.665682f4.00080fc5	user_options->benchmark_all	0
TOP.665682f4.00080fc5	user_options->bitmap_max	18
TOP.665682f4.00080fc5	user_options->bitmap_min	16
TOP.665682f4.00080fc5	user_options->debug_mode	0
TOP.665682f4.00080fc5	user_options->hash_info	0
TOP.665682f4.00080fc5	user_options->force	0
TOP.665682f4.00080fc5	user_options->hwmon_disable	0
TOP.665682f4.00080fc5	user_options->hwmon_temp_abort	90
TOP.665682f4.00080fc5	user_options->hash_mode	26600
TOP.665682f4.00080fc5	user_options->hex_charset	0
TOP.665682f4.00080fc5	user_options->hex_salt	0
TOP.665682f4.00080fc5	user_options->hex_wordlist	0
TOP.665682f4.00080fc5	user_options->hook_threads	16
TOP.665682f4.00080fc5	user_options->identify	0
TOP.665682f4.00080fc5	user_options->increment	0
TOP.665682f4.00080fc5	user_options->increment_max	256
TOP.665682f4.00080fc5	user_options->increment_min	1
TOP.665682f4.00080fc5	user_options->keep_guessing	1
TOP.665682f4.00080fc5	user_options->kernel_accel	0
TOP.665682f4.00080fc5	user_options->kernel_loops	0
TOP.665682f4.00080fc5	user_options->kernel_threads	0
TOP.665682f4.00080fc5	user_options->keyspace	0
TOP.665682f4.00080fc5	user_options->left	0
TOP.665682f4.00080fc5	user_options->logfile_disable	0
TOP.665682f4.00080fc5	user_options->loopback	0
TOP.665682f4.00080fc5	user_options->machine_readable	0
TOP.665682f4.00080fc5	user_options->markov_classic	0
TOP.665682f4.00080fc5	user_options->markov_disable	0
TOP.665682f4.00080fc5	user_options->markov_inverse	0
TOP.665682f4.00080fc5	user_options->markov_threshold	256
